HUL_DRS_DESCRIPTOR_ORACLE,uri_type_IDS,HUL_DRS_FILE_ORACLE
433091223,urn-3:FHCL:508359,2402881;3875610;2402880
433091226,urn-3:FHCL:508361,2402885;3875614;2402884
433091227,urn-3:FHCL:508360,2402883;3875612;2402882
433091230,urn-3:FHCL:508362,2402887;3875617;2402886
433091232,urn-3:FHCL:508363,2402889;3875619;2402888
433091234,urn-3:FHCL:508364,2402891;3875621;2402890
433091236,urn-3:FHCL:508365,2402893;3875623;2402892
433091238,urn-3:FHCL:508366,2402895;3867917;2402894
433091241,urn-3:FHCL:508368,2402899;2635246;2402898
433091243,urn-3:FHCL:508367,2402897;3868352;2402896
433091245,urn-3:FHCL:508369,2402901;2635249;2402900
433091247,urn-3:FHCL:508370,2402903;2640049;2402902
433091249,urn-3:FHCL:508371,2402905;2640052;2402904
433091252,urn-3:FHCL:508372,2402907;2640179;2402906
433091254,urn-3:FHCL:508373,2402909;2653318;2402908
433091256,urn-3:FHCL:508374,2402911;2640182;2402910
433091259,urn-3:FHCL:508376,2402915;2814626;2402914
433091260,urn-3:FHCL:508375,2402913;2814563;2402912
433091262,urn-3:FHCL:533526,2472901;3868383;2472900
433091264,urn-3:FHCL:533528,2472905;3868401;2472904
433091266,urn-3:FHCL:533527,2472903;3868399;2472902
433091269,urn-3:FHCL:533529,2472907;3868403;2472906
433091270,urn-3:FHCL:533530,2472909;3868405;2472908
433091272,urn-3:FHCL:533531,2472911;3868407;2472910
433091274,urn-3:FHCL:533532,2472913;3868409;2472912
433091276,urn-3:FHCL:533533,2472915;3868411;2472914
433091278,urn-3:FHCL:533534,2472917;3868413;2472916
433091280,urn-3:FHCL:533535,2472919;3868415;2472918
433091282,urn-3:FHCL:533536,2472921;3868418;2472920
433091284,urn-3:FHCL:533537,2472923;3868421;2472922
433091286,urn-3:FHCL:533538,2472925;3868423;2472924
433091289,urn-3:FHCL:533539,2472927;3868425;2472926
433091290,urn-3:FHCL:533540,2472929;3868427;2472928
433091292,urn-3:FHCL:533541,2472931;2472930
433091294,urn-3:FHCL:533542,2472933;2472932
433091296,urn-3:FHCL:533543,2472935;2472934
433091298,urn-3:FHCL:533545,2472939;2472938
433091300,urn-3:FHCL:533544,2472937;2472936
433091302,urn-3:FHCL:533546,2472941;2472940
433091304,urn-3:FHCL:533547,2472943;2472942
433091306,urn-3:FHCL:533548,2472945;2472944
433091308,urn-3:FHCL:533549,2472947;2472946
433091310,urn-3:FHCL:533550,2472949;2472948
433091312,urn-3:FHCL:533551,2472951;2472950
433091314,urn-3:FHCL:533552,2472953;2472952
433091316,urn-3:FHCL:533553,2472955;2472954
433091318,urn-3:FHCL:533554,2472957;2472956
433091320,urn-3:FHCL:533555,2472959;2472958
433091322,urn-3:FHCL:533556,2472961;2472960
433091324,urn-3:FHCL:533557,2472963;3879156;2472962
433091326,urn-3:FHCL:533558,2472965;3879332;2472964
433091328,urn-3:FHCL:533559,2472967;3879334;2472966
433091330,urn-3:FHCL:533560,2472969;3879336;2472968
433091332,urn-3:FHCL:533561,2472971;3879338;2472970
433091334,urn-3:FHCL:533562,2472973;3879340;2472972
433091336,urn-3:FHCL:533563,2472975;3879342;2472974
433091338,urn-3:FHCL:533564,2472977;3879344;2472976
433091340,urn-3:FHCL:533565,2472979;3879346;2472978
433091342,urn-3:FHCL:533566,2472981;3879348;2472980
